Date,Time,Animal_ID,Use,D_forbs,Vegetation.cover,Vegetation.biomass,Heap.dung,Escape.impediment,Micro.habitat.type,Time_day,Season,NDVI,dNDVI,daily_rain,protection_gradient,proximity_confluence,Proximity_road,Proximity_drainage,Proximity_river,Proximity_multiplePAs,Proximity_CorePAs_edge,Elevation,slope,TWI,Curvature,Proximity_fence,Tourism_footprint,Human_footprint,woody_density,UTM_x,UTM_y
5/30/2019,12:30,El_6661,1,0.875,8.75,9.30E-05,3,0,Short grassland,Day,Dry,6.077970088,-0.09276408,0,23.21264365,7.380155552,10.67737421,3.602991872,29.84135684,7.717069764,7.717069764,1676.139648,0.196601721,13.2996006,1.00E-06,158769.7031,0.02392215,0.030134218,0.063834064,701898.3873,9658986.044
5/30/2019,12:30,El_6661,0,0.4375,11.5,0.000133873,1,0,Short grassland,Day,Dry,5.128452048,-0.063973382,0,22.92551559,7.447548858,10.39185194,3.66337077,29.71605228,7.594221803,7.594221803,1674.08667,0.362147122,13.22329235,1.00E-06,158210.7031,0.02372146,0.030134218,-0.145982538,702014.3881,9659476.045
5/30/2019,12:30,El_6661,0,0.3125,6.25,0.000133873,7,0,Open woodland,Day,Dry,4.223252304,-0.056479834,0,22.58924684,6.600641187,10.06331767,2.821225901,29.0909364,8.479713029,8.479713029,1676.139648,0.196601721,13.29179096,1.00E-06,158891.7031,0.02717075,0.030134218,-0.191913652,701133.3863,9659149.045
5/30/2019,12:30,El_6661,0,4.1875,4.75,9.30E-05,5,0,Short grassland,Day,Dry,5.904080644,-0.080011889,0,23.79588555,7.646345525,11.26461121,3.920120725,30.28578832,7.566543812,7.566543812,1679.133301,0.341378317,13.84052658,1.00E-06,159101,0.02203901,0.034214571,0.20893241,702058.3866,9658352.043
5/30/2019,12:30,El_6661,0,1.9375,25,0.000209176,2,0,Short grassland,Day,Dry,5.518691599,-0.080921352,0,23.61070287,8.161688115,11.0836761,4.37627984,30.46588692,6.905377306,6.905377306,1674.08667,0.362147122,13.22329235,1.00E-06,158205.7969,0.02164294,0.030397585,-0.120440259,702707.3887,9659184.043
6/1/2019,0:30,El_6661,1,3.5,8.25,0.000371869,2,0,Short grassland,Night,Dry,5.107595257,-0.091309778,0,25.05564144,8.957508508,12.51996307,5.261619491,31.63731922,6.375799202,6.375799202,1683.113647,0.30455801,13.39970779,2.00E-06,159208.2031,0.01954369,0.034601536,-0.233836944,703258.3876,9657729.04
6/1/2019,0:30,El_6661,0,2.125,0,0.000209176,0,0,Short grassland,Night,Dry,5.107595257,-0.091309778,0,25.01033706,8.891661638,12.4746191,5.198301325,31.57788489,6.443792539,6.443792539,1683.113647,0.30455801,13.39970779,2.00E-06,159319.7969,0.01954369,0.034601536,-0.233836944,703190.3875,9657729.04
6/1/2019,0:30,El_6661,0,1.4375,6.75,0.000209176,0,0,Short grassland,Night,Dry,5.463952422,-0.098956943,0,24.52807114,8.134523513,12.00112081,4.487484021,30.9088301,7.245511975,7.245511975,1683.35144,0.349402389,13.40117931,-2.00E-06,159656.7031,0.02083635,0.034214571,-0.072012363,702389.3862,9657672.041
6/1/2019,0:30,El_6661,0,0.75,0,0.000209176,1,0,Short grassland,Night,Dry,4.930095665,-0.077860765,0,25.2987139,8.809386111,12.77044315,5.216676091,31.64876774,6.723417137,6.723417137,1687.001221,0.269385071,13.40117931,1.00E-06,159878.9063,0.01904881,0.034601536,-0.227320263,702919.3862,9657111.04
6/1/2019,0:30,El_6661,0,3.375,1.25,0.000836705,11,0,Short grassland,Night,Dry,4.806419849,-0.070387363,0,25.58569651,9.625032394,13.05392902,5.919641458,32.27100123,5.718501614,5.718501614,1680.936523,0.270176227,13.39970779,2.00E-06,158985.7969,0.01863218,0.034601536,-0.207594756,703917.3884,9657612.039
5/20/2019,0:30,El_6661,1,4.1875,2.5,0.000209176,5,0,Short grassland,Night,Dry,4.541023374,-0.089436173,0,25.80292187,10.78316463,13.35404335,5.80267757,33.00795013,4.333272534,4.333272534,1676.613647,0.246333957,14.30947971,5.00E-06,157427,0.01846514,0.034601536,-0.346561769,705287.3919,9658661.039
5/20/2019,0:30,El_6661,0,5.4375,13.75,0.000209176,3,0,Short grassland,Night,Dry,4.792682663,-0.088110164,0,25.91299523,11.11671105,13.49906104,5.461965513,33.23537147,3.969938407,3.969938407,1676.613647,0.246333957,14.30947971,5.00E-06,157092.7031,0.01831105,0.030397585,-0.313022972,705647.3928,9658886.039
5/20/2019,0:30,El_6661,0,0.8125,27.5,9.30E-05,1,0,Short grassland,Night,Dry,6.052254304,-0.035613939,0,26.64003801,11.39470927,14.17931309,6.24273167,33.76921165,3.824364783,3.824364783,1674.540771,0.305247402,14.31838608,-4.00E-06,157883.9063,0.01781883,0.034601536,-0.277056232,705806.3918,9657992.037
5/20/2019,0:30,El_6661,0,0.5625,1.25,9.30E-05,1,0,Short grassland,Night,Dry,5.073090196,-0.053134561,0,25.86448316,10.31522678,13.35912449,6.564194756,32.79442301,4.924421034,4.924421034,1680.936523,0.270176227,13.76571083,2.00E-06,158430.2031,0.01840449,0.034601536,-0.279850726,704706.3901,9657980.039
5/20/2019,0:30,El_6661,0,1,1.25,9.30E-05,1,0,Short grassland,Night,Dry,5.001900241,-0.064611062,0,25.09147433,9.982810157,12.6158549,5.939781652,32.21229914,5.110975048,5.110975048,1676.31958,0.278681498,13.95863724,0,157532.9063,0.01902636,0.030397585,-0.19253775,704506.391,9658875.04
6/2/2019,8:30,El_6661,1,2.125,10,0.000133873,4,0,Short grassland,Day,Dry,3.951211929,-0.038832903,0,22.46751791,7.346036422,11.13778226,0.308025251,31.31653531,3.726672804,3.726672804,1644.04248,0.086019851,13.32819843,-2.00E-06,151607.4063,0.01922431,0.027104001,0.027898529,705806.4012,9664828.048
6/2/2019,8:30,El_6661,0,1.4375,13.75,2.32E-05,4,0,Short grassland,Day,Dry,4.138138115,-0.046463512,0,21.88991195,7.036893374,10.77617319,0.968380357,30.89723994,3.958430093,3.958430093,1645.95459,0.102719915,14.45799351,-1.00E-06,151275,0.01924991,0.027104001,0.080435478,705564.4019,9665558.049
